Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,host_disease,Host,Instrument,Isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Strain
SRR12513773,AMPLICON,277,13274141,PRJNA639066,SAMN15900715,Pathogen.cl,7126689,TX-SARS-COV-2,Texas Department of State Health Services,5/11/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004400,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0193,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0193,SRP267052,SARS-CoV-2/USA/TX-DSHS-0193/2020
SRR12513774,AMPLICON,279,13141481,PRJNA639066,SAMN15900714,Pathogen.cl,6915159,TX-SARS-COV-2,Texas Department of State Health Services,4/25/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004399,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0191,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0191,SRP267052,SARS-CoV-2/USA/TX-DSHS-0191/2020
SRR12513775,AMPLICON,284,11488921,PRJNA639066,SAMN15900713,Pathogen.cl,5547395,TX-SARS-COV-2,Texas Department of State Health Services,4/13/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004398,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0190,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0190,SRP267052,SARS-CoV-2/USA/TX-DSHS-0190/2020
SRR12513776,AMPLICON,281,11769822,PRJNA639066,SAMN15900712,Pathogen.cl,6730511,TX-SARS-COV-2,Texas Department of State Health Services,4/10/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004397,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0188,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0188,SRP267052,SARS-CoV-2/USA/TX-DSHS-0188/2020
SRR12513777,AMPLICON,280,11267811,PRJNA639066,SAMN15900711,Pathogen.cl,6175075,TX-SARS-COV-2,Texas Department of State Health Services,4/10/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004396,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0187,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0187,SRP267052,SARS-CoV-2/USA/TX-DSHS-0187/2020
SRR12513778,AMPLICON,281,11193762,PRJNA639066,SAMN15900710,Pathogen.cl,6126414,TX-SARS-COV-2,Texas Department of State Health Services,3/16/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004395,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,sputum,missing,TX-DSHS-0186,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0186,SRP267052,SARS-CoV-2/USA/TX-DSHS-0186/2020
SRR12513779,AMPLICON,280,8869685,PRJNA639066,SAMN15900709,Pathogen.cl,4788357,TX-SARS-COV-2,Texas Department of State Health Services,3/16/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004394,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0185,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0185,SRP267052,SARS-CoV-2/USA/TX-DSHS-0185/2020
SRR12513780,AMPLICON,280,9909896,PRJNA639066,SAMN15900708,Pathogen.cl,5277658,TX-SARS-COV-2,Texas Department of State Health Services,3/16/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004393,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,sputum,missing,TX-DSHS-0184,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0184,SRP267052,SARS-CoV-2/USA/TX-DSHS-0184/2020
SRR12513781,AMPLICON,285,10740146,PRJNA639066,SAMN15900707,Pathogen.cl,5634228,TX-SARS-COV-2,Texas Department of State Health Services,3/16/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004392,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0183,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0183,SRP267052,SARS-CoV-2/USA/TX-DSHS-0183/2020
SRR12513782,AMPLICON,286,10447586,PRJNA639066,SAMN15900698,Pathogen.cl,5939305,TX-SARS-COV-2,Texas Department of State Health Services,3/11/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004391,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0173,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0173,SRP267052,SARS-CoV-2/USA/TX-DSHS-0173/2020
SRR12513783,AMPLICON,283,11565263,PRJNA639066,SAMN15900697,Pathogen.cl,6395352,TX-SARS-COV-2,Texas Department of State Health Services,3/11/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9004390,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,throat swab,missing,TX-DSHS-0172,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,8/24/2020 17:00,TX-DSHS-0172,SRP267052,SARS-CoV-2/USA/TX-DSHS-0172/2020
SRR12173368,AMPLICON,291,10397391,PRJNA639066,SAMN15481917,Pathogen.cl,5826656,TX-SARS-COV-2,Texas Department of State Health Services,5/9/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688176,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0075,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0075,SRP267052,SARS-CoV-2/USA/TX-DSHS-0075/2020
SRR12173369,AMPLICON,293,9358875,PRJNA639066,SAMN15481916,Pathogen.cl,5848790,TX-SARS-COV-2,Texas Department of State Health Services,5/9/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688175,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0074,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0074,SRP267052,SARS-CoV-2/USA/TX-DSHS-0074/2020
SRR12173370,AMPLICON,288,8782564,PRJNA639066,SAMN15481915,Pathogen.cl,5219285,TX-SARS-COV-2,Texas Department of State Health Services,5/9/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688174,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0073,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0073,SRP267052,SARS-CoV-2/USA/TX-DSHS-0073/2020
SRR12173371,AMPLICON,295,10036177,PRJNA639066,SAMN15481914,Pathogen.cl,6146741,TX-SARS-COV-2,Texas Department of State Health Services,5/9/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688173,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0072,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0072,SRP267052,SARS-CoV-2/USA/TX-DSHS-0072/2020
SRR12173372,AMPLICON,291,10232220,PRJNA639066,SAMN15481913,Pathogen.cl,6224805,TX-SARS-COV-2,Texas Department of State Health Services,5/9/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688172,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0071,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0071,SRP267052,SARS-CoV-2/USA/TX-DSHS-0071/2020
SRR12173373,AMPLICON,284,9924843,PRJNA639066,SAMN15481953,Pathogen.cl,6048039,TX-SARS-COV-2,Texas Department of State Health Services,5/28/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688171,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0112,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0112,SRP267052,SARS-CoV-2/USA/TX-DSHS-0112/2020
SRR12173374,AMPLICON,287,13552198,PRJNA639066,SAMN15481952,Pathogen.cl,7577992,TX-SARS-COV-2,Texas Department of State Health Services,5/28/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688170,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0111,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0111,SRP267052,SARS-CoV-2/USA/TX-DSHS-0111/2020
SRR12173375,AMPLICON,291,10472719,PRJNA639066,SAMN15481951,Pathogen.cl,6606709,TX-SARS-COV-2,Texas Department of State Health Services,5/28/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688169,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0110,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0110,SRP267052,SARS-CoV-2/USA/TX-DSHS-0110/2020
SRR12173376,AMPLICON,290,8690823,PRJNA639066,SAMN15481950,Pathogen.cl,5041462,TX-SARS-COV-2,Texas Department of State Health Services,5/28/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688168,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0109,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0109,SRP267052,SARS-CoV-2/USA/TX-DSHS-0109/2020
SRR12173377,AMPLICON,289,9984480,PRJNA639066,SAMN15481949,Pathogen.cl,6110676,TX-SARS-COV-2,Texas Department of State Health Services,5/28/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688167,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0108,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0108,SRP267052,SARS-CoV-2/USA/TX-DSHS-0108/2020
SRR12173378,AMPLICON,294,9452981,PRJNA639066,SAMN15481948,Pathogen.cl,5760662,TX-SARS-COV-2,Texas Department of State Health Services,5/28/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688166,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0107,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0107,SRP267052,SARS-CoV-2/USA/TX-DSHS-0107/2020
SRR12173379,AMPLICON,292,10643924,PRJNA639066,SAMN15481912,Pathogen.cl,6801050,TX-SARS-COV-2,Texas Department of State Health Services,5/9/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688165,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0070,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0070,SRP267052,SARS-CoV-2/USA/TX-DSHS-0070/2020
SRR12173380,AMPLICON,289,10285143,PRJNA639066,SAMN15481947,Pathogen.cl,6396272,TX-SARS-COV-2,Texas Department of State Health Services,5/28/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688164,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0106,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0106,SRP267052,SARS-CoV-2/USA/TX-DSHS-0106/2020
SRR12173381,AMPLICON,287,9586758,PRJNA639066,SAMN15481946,Pathogen.cl,5560625,TX-SARS-COV-2,Texas Department of State Health Services,5/28/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688163,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0105,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0105,SRP267052,SARS-CoV-2/USA/TX-DSHS-0105/2020
SRR12173382,AMPLICON,292,11234760,PRJNA639066,SAMN15481945,Pathogen.cl,6326231,TX-SARS-COV-2,Texas Department of State Health Services,5/28/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688162,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0104,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0104,SRP267052,SARS-CoV-2/USA/TX-DSHS-0104/2020
SRR12173383,AMPLICON,288,11507322,PRJNA639066,SAMN15481944,Pathogen.cl,7134404,TX-SARS-COV-2,Texas Department of State Health Services,5/28/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688161,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0103,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0103,SRP267052,SARS-CoV-2/USA/TX-DSHS-0103/2020
SRR12173384,AMPLICON,296,10301390,PRJNA639066,SAMN15481943,Pathogen.cl,6090579,TX-SARS-COV-2,Texas Department of State Health Services,5/28/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688160,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0102,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0102,SRP267052,SARS-CoV-2/USA/TX-DSHS-0102/2020
SRR12173385,AMPLICON,289,9465509,PRJNA639066,SAMN15481942,Pathogen.cl,5331029,TX-SARS-COV-2,Texas Department of State Health Services,5/28/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688159,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0101,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0101,SRP267052,SARS-CoV-2/USA/TX-DSHS-0101/2020
SRR12173386,AMPLICON,291,10898045,PRJNA639066,SAMN15481941,Pathogen.cl,6699607,TX-SARS-COV-2,Texas Department of State Health Services,5/28/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688158,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0100,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0100,SRP267052,SARS-CoV-2/USA/TX-DSHS-0100/2020
SRR12173387,AMPLICON,289,9724818,PRJNA639066,SAMN15481940,Pathogen.cl,6037065,TX-SARS-COV-2,Texas Department of State Health Services,5/28/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688157,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0099,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0099,SRP267052,SARS-CoV-2/USA/TX-DSHS-0099/2020
SRR12173388,AMPLICON,292,9738559,PRJNA639066,SAMN15481939,Pathogen.cl,5741302,TX-SARS-COV-2,Texas Department of State Health Services,5/28/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688156,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0098,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0098,SRP267052,SARS-CoV-2/USA/TX-DSHS-0098/2020
SRR12173389,AMPLICON,288,10214319,PRJNA639066,SAMN15481938,Pathogen.cl,6225570,TX-SARS-COV-2,Texas Department of State Health Services,5/24/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688155,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0097,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0097,SRP267052,SARS-CoV-2/USA/TX-DSHS-0097/2020
SRR12173390,AMPLICON,293,9964675,PRJNA639066,SAMN15481911,Pathogen.cl,6187166,TX-SARS-COV-2,Texas Department of State Health Services,5/9/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688154,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0069,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0069,SRP267052,SARS-CoV-2/USA/TX-DSHS-0069/2020
SRR12173391,AMPLICON,290,9615863,PRJNA639066,SAMN15481937,Pathogen.cl,5420728,TX-SARS-COV-2,Texas Department of State Health Services,5/24/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688153,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0096,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0096,SRP267052,SARS-CoV-2/USA/TX-DSHS-0096/2020
SRR12173392,AMPLICON,288,9810042,PRJNA639066,SAMN15481936,Pathogen.cl,5577276,TX-SARS-COV-2,Texas Department of State Health Services,5/24/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688152,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0095,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0095,SRP267052,SARS-CoV-2/USA/TX-DSHS-0095/2020
SRR12173393,AMPLICON,289,9093144,PRJNA639066,SAMN15481935,Pathogen.cl,5189972,TX-SARS-COV-2,Texas Department of State Health Services,5/24/2020,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8688151,USA,North America,USA:TX,COVID-19,Homo sapiens,Illumina MiSeq,nasopharyngeal swab,missing,TX-DSHS-0094,PAIRED,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,7/8/2020 17:00,TX-DSHS-0094,SRP267052,SARS-CoV-2/USA/TX-DSHS-0094/2020
